,Name,Time Ago,Like,Comment
0,@howardc7820,1 month ago,451,Keep up the excellent work. It's a disgrace that governments are not willing to investigate to the level you have and bring these scammers to justice.
1,@playsomething4029,1 month ago,439,"Simona was courageous to take this on, and that courage has yielded extremely powerful results by stopping future victims. She should be very happy with her work"
2,@CiaoBeya,1 month ago,148,Simona Weinglass- you did some excellent investigative journalism.  It is absolutely heartbreaking for those who lost their savings.  How great to see you were able to uncover who these scammers are. I hope justice prevails and these thieves be sentenced to long long terms.
3,@kadir9629,1 month ago,67,"I once worked as a sales agent for one of these companies in Bulgaria. They made me take a lie detector test before signing the contract, and asked me whether I was a government employer. I never knew that it was a scam while I was working there. They are well funded and they know what they are doing."
4,@vigithavigitha1964,1 month ago,8,"The amount of bravery this took was INSANE.
These people all had their lives in danger, but still decided to go through with the recovery for the sake of busting bad scammers. True respect
 CHARGEBACKTOOLS If the FBI was half as dedicated and ingenious (and honest) as you guys are, the USA would be a much safer country Amazing work..."
5,@gigazamtaradze6766,1 month ago,748,As a Georgian national I am beyond ashamed and do apologies for the harm caused and thank BBC for helping to bring the awareness. These people do not represent Georgia and they’ve robbed Georgian people too.
6,@user-rx2uk5yy2p,1 month ago,0,d some excellent investigative journalism.  It is absolutely heartbreaking for those who lost their savings.  How great to see you were able to uncover who these scammers are. I hope justice prevails and these thieves be sentenced to l
7,@carolyncopelandatremaxtemp7717,1 month ago,4,"You and Alex did an amazing job!  I am so impressed and humbled by what you worked So Hard on And Uncovered!!  It’s just sad that with all your hard work you have put names to the top people involved, that the legal system is unable to prosecute.  I’m a private investigator and my heart was being broken by the sad stories of people who called me after they had been scammed. Of course at that point there was nothing that I could do to help them except try to convince them to report it. Then I came to the conclusion that the best I could do to help people is to educate them before they get scammed so that they won’t get scammed. That’s my little bit that I can do to help. You’re doing the hard work and I am so impressed. My prayers will be with you to give you strength, direction, wisdom and to keep you always safe. Take care."
8,@kingbush9328,1 month ago,29,Jobs will pay your bills business will make you rich but investment makes and you keep you wealthy the future is inevitable!
9,@MaggieLufwendo,1 month ago,3,"The one piece of feedback I always get from the scam victims after reaching out to you sir is  is how you keep your cool and professionalism, even in the most stressful situations. Where others would crumble, you maintain your composure and think quickly on your feet. It's no surprise that you're our life saver favorite. Adriannotch, on the internet Keep up the good work"
10,@zuhaibamir9482,1 month ago,510,Thank You BBC for going after these scammers awareness is the first line of defence against these scammers. To all the people who who were victims never feel ashamed it could have been anyone of us no one is immune.
11,@Terradiva,1 month ago,178,Absolutely worth my time to watch. Cheering BBC for investing in this story.  And all of the law enforcement teams.  It’s the tip of the iceberg.
12,@shahriartanvir977,1 month ago,321,These football clubs should be held accountable for taking sponsors and promoting them without checking their backgrounds.
13,@profitmind,1 month ago,66,"I have always been suspecting  these investment platforms of fraud.
My heart goes out to the victims
Thank you BBC for this investigation"
14,@user-kh8wl6nl2l,1 month ago,608,"As a Georgian and a journalist, I would love to thank you for this investigation! These call centers have been rotting the youth for quite some time already! I am happy you went after them!"
15,@DreamviewsitesAlok,1 month ago,41,"Nicely summarised and portrayed 
Really sorry for the victims 
It's really an eye opener."
16,@veronikabari6096,1 month ago,160,The fact that a reporter could find out so much and law enforcement with all their resources are so timid and powerless... Makes me think maybe whoever is directing the law has a cut in all these billions.
17,@abhishekabhishek2223,1 month ago,3,"Well, it would be a great presentation that talks about the awareness of financial scams. My favourite part would be the topology representation. I appreciate the sincere work of the BBC crew who brought such a unique topic that was barely thought about. I wish all the best, and I am waiting for another story."
18,@user-ts2vs3ys4z,1 month ago,20,"This is eye opening, thank you. 
I recently got scammed for big money by a similar company, they are called Creyton, posing as a wealth management firm. I trusted these guys, mainly because I could not believe that a large group of people who sounded on the phone as well financially educated and sporting deep British accents could band up just to steal money - from me and I guess many other victims."
19,@NeilTutbury,1 month ago,3,"Really enjoyed your journalism and everything you are doing Simona. Keep up the good work. Perhaps the reason why Governments aren't doing anything, could be because they are getting their pockets lined also. Would be interesting to find out who is making large donations to their  political party."
20,@sandhanitizer17,1 month ago,328,"Absolutely love this. We need way more investigative journalism now, more than ever! Great work, Simona. Thanks BBC for giving her the $500 so she could get scammed on purpose lol. I'd love to hear how that convo went."
21,@CarlosEnrique84,1 month ago,189,"The video does not mention it, but the scammer business is likely just a niche market for larger criminal organizations connected to drug trafficking, human trafficking, prostitution, etc. Good report. Thank you for warning all of us and especially the trading community."
22,@ashanupa,1 month ago,8,Kudos to the team for bringing this up and making people aware of it.
23,@lk-music,1 month ago,9,"Excellent journalism. I remember receiving a few cold calls not long ago asking me if I was into investing/etc. I have a habit of deliberately misleading calls from strangers so this time it was ""no thanks, I'm broke""… Whenever I get a call asking if I'd be interested in reducing debt, then it's ""no thanks, I'm loaded""."
24,@natsellar8982,1 month ago,28,Excellent journalism.  Keep up the good work on both tracking these guys down and spreading awareness.  Thank you!
25,@Robyjayjay,1 month ago,1K,"Absolutely amazing video. So many points that i can either recognize or find extremely value in I just keep praying the world would be at peace soon. Thank you, I can say now is my life has changed since meeting Rodger Michael Karl. He's helped us become debt-free and save for retirement."" I made over 220K during this dip, which made it clear there's more to the market than we average joes know. Having an investment adviser is currently the best course of action, especially for those who are close to making losses.."
26,@valentinalevina7022,1 month ago,132,"Someone from my family got scammed pretty badly from a similar company years ago, it never got enough attention for investigation and the local police wouldn’t even bother, no wonder people don’t report it, knowing that reporting won’t change anything…such a shame…
I’m glad that BBC shedding light on those thieves and hopefully no one will have to go through what these people went through."
27,@airingcupboard,1 month ago,103,Incredible journalistic work. The UK govt should be ashamed to let this guy stay in the UK. Unfortunately there are more of them and they seem to just let it go on.
28,@pt4822,1 month ago,28,"This is top notch work! Congrats Simona. Remind me to never cross path with you. You are soft spoken but yet thorough, persistent and effective. This article saved me from the scam. THANK YOU and well done!!!"
29,@RjThermo,1 month ago,1,"Very insightful, courageous and investigative endeavor Miss Weinglass as you keep your cool with those soulless individuals.  Highly admirable of you."
30,@bangervideos9447,1 month ago,45,"As a Nigerian living in Europe, it's hard for me to tell people my nationality because of the shame of been called a scammer, even though i have a degree in the university and no crime history, i get judged the moment i say i am a Nigerian, it's scary, but this scammers don.t care what ordinary hard working people in their countries get called or put to shame...it's all about the money and it's crazy."
31,@coinstructive,1 month ago,2,Great video! Scammers think of new and creative ways to trick unsuspecting victims every year. We deal with crypto scam cases all the time and and there's always something that surprises us.
32,@kyleos6312,1 month ago,456,"Good journalism, very impressed. As a Brit I am disgusted the reporter had to ask a German policeman if he could assist British victims. His answer was spot on ... where are the UK police in all this. I am not anti police inspite of all their short falls, sadly we still need cops ... but the total absance of UK police leaves me thinking - simple incompetance or worse protection of local intitutional financial collusion. Please keep digging."
33,@mikebrowne3914,1 month ago,13,"Excellent documentary and one brave, seriously good journalist. We need more like you. And people curb your greed and do your own research into everything. If someone's promising you the moon it's a scam."
